CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
130	40	9385	0.42	9425
131	61	9333	0.65	9394
132	42	9394	0.45	9436
133	36	9296	0.39	9332
134	55	9200	0.59	9255
135	46	9185	0.50	9231
136	44	9155	0.48	9199
137	30	9230	0.32	9260
138	35	9191	0.38	9226
139	41	9183	0.44	9224
140	37	9085	0.41	9122
141	40	9179	0.43	9219
142	46	9094	0.50	9140
143	47	9227	0.51	9274
144	44	9000	0.49	9044
145	43	9040	0.47	9083
146	124	8721	1.40	8845
147	146	8778	1.64	8924
148	117	8683	1.33	8800
149	256	8523	2.92	8779
150	289	8580	3.26	8869
151	377	8215	4.39	8592

