CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	3	26	10.34	29
2	1	37	2.63	38
3	1	59	1.67	60
4	4	45	8.16	49
5	2	41	4.65	43
6	2	46	4.17	48
7	2	30	6.25	32
8	1	32	3.03	33
9	1	19	5.00	20
10	2	14	12.50	16
11	1	2	33.33	3
12	1	8	11.11	9
13	3	1	75.00	4
14	0	0		0
15	0	1	0.00	1
16	0	2	0.00	2
17	0	0		0
18	0	0		0
19	0	0		0
20	0	0		0
21	0	0		0
22	1	0	100.00	1

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	5	16	23.81	21
2	3	14	17.65	17
3	2	28	6.67	30
4	5	24	17.24	29
5	6	31	16.22	37
6	4	25	13.79	29
7	3	25	10.71	28
8	1	14	6.67	15
9	1	14	6.67	15
10	0	8	0.00	8
11	1	2	33.33	3
12	1	5	16.67	6
13	0	2	0.00	2
14	2	3	40.00	5
15	0	1	0.00	1
16	0	0		0
17	0	1	0.00	1
18	0	0		0
19	0	0		0
20	0	1	0.00	1
21	0	1	0.00	1
22	0	0		0

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	5	51	8.93	56
2	9	24	27.27	33
3	6	21	22.22	27
4	7	36	16.28	43
5	3	31	8.82	34
6	4	26	13.33	30
7	5	33	13.16	38
8	5	31	13.89	36
9	7	20	25.93	27
10	4	21	16.00	25
11	4	9	30.77	13
12	4	6	40.00	10
13	2	3	40.00	5
14	1	2	33.33	3
15	1	2	33.33	3
16	0	1	0.00	1
17	0	1	0.00	1
18	0	1	0.00	1
19	0	2	0.00	2
20	0	0		0
21	0	0		0
22	0	0		0

