CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	77	167	31.56	244
2	19	179	9.60	198
3	30	143	17.34	173
4	33	156	17.46	189
5	26	122	17.57	148
6	18	115	13.53	133
7	22	105	17.32	127
8	17	96	15.04	113
9	8	81	8.99	89
10	10	88	10.20	98
11	15	64	18.99	79
12	8	63	11.27	71
13	9	50	15.25	59
14	5	44	10.20	49
15	8	42	16.00	50
16	8	49	14.04	57
17	5	54	8.47	59
18	5	46	9.80	51
19	1	57	1.72	58
20	4	44	8.33	48
21	7	51	12.07	58
22	3	54	5.26	57
23	5	41	10.87	46
24	4	28	12.50	32
25	2	42	4.55	44
26	5	47	9.62	52
27	2	41	4.65	43
28	5	42	10.64	47
29	8	44	15.38	52
30	3	43	6.52	46
31	4	29	12.12	33
32	5	32	13.51	37
33	0	43	0.00	43
34	0	26	0.00	26
35	1	23	4.17	24
36	3	24	11.11	27
37	2	21	8.70	23
38	1	30	3.23	31
39	2	27	6.90	29
40	2	33	5.71	35
41	2	24	7.69	26
42	1	23	4.17	24
43	1	20	4.76	21
44	0	30	0.00	30
45	1	32	3.03	33
46	7	26	21.21	33
47	5	27	15.62	32
48	2	32	5.88	34
49	7	32	17.95	39
50	2	35	5.41	37
51	0	28	0.00	28
52	2	18	10.00	20
53	2	25	7.41	27
54	1	22	4.35	23
55	0	19	0.00	19
56	0	16	0.00	16
57	0	25	0.00	25
58	2	19	9.52	21
59	1	25	3.85	26
60	3	13	18.75	16
61	1	20	4.76	21
62	1	12	7.69	13
63	1	15	6.25	16
64	0	6	0.00	6
65	0	16	0.00	16
66	1	20	4.76	21
67	0	3	0.00	3
68	3	11	21.43	14
69	1	4	20.00	5
70	1	3	25.00	4
71	1	3	25.00	4
72	0	8	0.00	8
73	0	2	0.00	2
74	1	4	20.00	5
75	0	3	0.00	3
76	2	0	100.00	2
77	0	1	0.00	1
78	0	0		0

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	60	205	22.64	265
2	62	250	19.87	312
3	33	309	9.65	342
4	36	227	13.69	263
5	33	241	12.04	274
6	27	216	11.11	243
7	27	171	13.64	198
8	17	139	10.90	156
9	18	133	11.92	151
10	13	120	9.77	133
11	16	103	13.45	119
12	7	105	6.25	112
13	1	97	1.02	98
14	4	75	5.06	79
15	1	81	1.22	82
16	1	84	1.18	85
17	0	77	0.00	77
18	0	63	0.00	63
19	0	84	0.00	84
20	0	76	0.00	76
21	0	84	0.00	84
22	0	61	0.00	61
23	1	66	1.49	67
24	0	74	0.00	74
25	0	64	0.00	64
26	0	60	0.00	60
27	2	69	2.82	71
28	0	73	0.00	73
29	0	75	0.00	75
30	0	62	0.00	62
31	0	65	0.00	65
32	0	61	0.00	61
33	0	55	0.00	55
34	0	56	0.00	56
35	0	60	0.00	60
36	0	57	0.00	57
37	0	48	0.00	48
38	0	54	0.00	54
39	0	47	0.00	47
40	0	58	0.00	58
41	0	71	0.00	71
42	0	53	0.00	53
43	0	57	0.00	57
44	0	54	0.00	54
45	1	45	2.17	46
46	1	52	1.89	53
47	0	40	0.00	40
48	0	48	0.00	48
49	0	51	0.00	51
50	0	41	0.00	41
51	0	34	0.00	34
52	0	46	0.00	46
53	0	43	0.00	43
54	0	32	0.00	32
55	0	27	0.00	27
56	0	40	0.00	40
57	0	27	0.00	27
58	0	30	0.00	30
59	0	33	0.00	33
60	0	30	0.00	30
61	0	17	0.00	17
62	0	22	0.00	22
63	0	20	0.00	20
64	0	17	0.00	17
65	0	23	0.00	23
66	0	21	0.00	21
67	0	12	0.00	12
68	0	13	0.00	13
69	0	20	0.00	20
70	0	8	0.00	8
71	0	9	0.00	9
72	0	11	0.00	11
73	0	4	0.00	4
74	0	4	0.00	4
75	0	3	0.00	3
76	0	1	0.00	1
77	0	4	0.00	4
78	0	1	0.00	1

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	488	967	33.54	1455
2	363	968	27.27	1331
3	329	989	24.96	1318
4	323	1027	23.93	1350
5	286	1031	21.72	1317
6	296	952	23.72	1248
7	239	854	21.87	1093
8	205	761	21.22	966
9	147	628	18.97	775
10	108	560	16.17	668
11	98	457	17.66	555
12	69	424	14.00	493
13	38	319	10.64	357
14	18	273	6.19	291
15	12	206	5.50	218
16	8	208	3.70	216
17	8	202	3.81	210
18	2	175	1.13	177
19	3	196	1.51	199
20	1	174	0.57	175
21	2	166	1.19	168
22	2	168	1.18	170
23	2	146	1.35	148
24	0	148	0.00	148
25	1	144	0.69	145
26	0	142	0.00	142
27	0	135	0.00	135
28	0	132	0.00	132
29	0	137	0.00	137
30	1	143	0.69	144
31	0	133	0.00	133
32	2	139	1.42	141
33	0	131	0.00	131
34	0	123	0.00	123
35	0	145	0.00	145
36	0	132	0.00	132
37	1	124	0.80	125
38	1	127	0.78	128
39	0	103	0.00	103
40	0	113	0.00	113
41	0	100	0.00	100
42	0	109	0.00	109
43	1	99	1.00	100
44	0	80	0.00	80
45	0	84	0.00	84
46	1	89	1.11	90
47	0	98	0.00	98
48	0	90	0.00	90
49	0	80	0.00	80
50	0	77	0.00	77
51	0	74	0.00	74
52	0	87	0.00	87
53	0	77	0.00	77
54	0	77	0.00	77
55	1	76	1.30	77
56	0	81	0.00	81
57	0	93	0.00	93
58	0	63	0.00	63
59	0	69	0.00	69
60	0	56	0.00	56
61	0	63	0.00	63
62	1	60	1.64	61
63	0	51	0.00	51
64	0	46	0.00	46
65	0	43	0.00	43
66	0	37	0.00	37
67	0	39	0.00	39
68	0	36	0.00	36
69	0	28	0.00	28
70	1	30	3.23	31
71	0	18	0.00	18
72	0	14	0.00	14
73	0	13	0.00	13
74	0	10	0.00	10
75	0	6	0.00	6
76	0	2	0.00	2
77	0	0		0
78	0	1	0.00	1

