CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	2	31	6.06	33
2	2	31	6.06	33
3	0	22	0.00	22
4	1	46	2.13	47
5	2	21	8.70	23
6	1	31	3.12	32
7	0	18	0.00	18
8	1	11	8.33	12
9	0	16	0.00	16
10	0	11	0.00	11
11	1	5	16.67	6
12	0	4	0.00	4
13	1	1	50.00	2
14	1	0	100.00	1
15	0	0		0
16	0	0		0
17	0	0		0
18	0	0		0
19	0	0		0
20	0	0		0
21	0	0		0
22	0	0		0

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	1	31	3.12	32
2	1	21	4.55	22
3	3	33	8.33	36
4	1	27	3.57	28
5	1	27	3.57	28
6	2	30	6.25	32
7	2	21	8.70	23
8	1	14	6.67	15
9	1	16	5.88	17
10	1	7	12.50	8
11	0	12	0.00	12
12	1	7	12.50	8
13	0	0		0
14	0	1	0.00	1
15	0	1	0.00	1
16	0	0		0
17	0	0		0
18	0	0		0
19	0	0		0
20	0	0		0
21	0	0		0
22	0	0		0

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	11	94	10.48	105
2	10	89	10.10	99
3	4	79	4.82	83
4	13	87	13.00	100
5	12	92	11.54	104
6	6	75	7.41	81
7	5	71	6.58	76
8	5	66	7.04	71
9	5	53	8.62	58
10	3	38	7.32	41
11	0	24	0.00	24
12	1	20	4.76	21
13	1	8	11.11	9
14	1	9	10.00	10
15	1	3	25.00	4
16	0	4	0.00	4
17	0	2	0.00	2
18	0	3	0.00	3
19	0	2	0.00	2
20	0	1	0.00	1
21	0	1	0.00	1
22	0	1	0.00	1

