CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	18	18	50.00	36
2	1	3	25.00	4
3	2	9	18.18	11
4	5	9	35.71	14
5	3	3	50.00	6
6	2	6	25.00	8
7	1	9	10.00	10
8	3	4	42.86	7
9	3	1	75.00	4
10	1	3	25.00	4
11	1	0	100.00	1
12	1	2	33.33	3
13	1	2	33.33	3
14	2	1	66.67	3
15	1	1	50.00	2
16	2	0	100.00	2
17	2	0	100.00	2
18	1	0	100.00	1
19	0	0		0
20	0	0		0
21	1	0	100.00	1
22	1	0	100.00	1
23	0	0		0
24	0	0		0
25	0	0		0
26	0	0		0
27	0	0		0
28	0	0		0
29	0	0		0
30	0	0		0
31	0	0		0
32	0	0		0
33	0	0		0
34	0	0		0
35	0	0		0
36	0	0		0
37	0	0		0
38	0	0		0
39	0	0		0
40	0	0		0
41	0	0		0
42	0	0		0
43	0	0		0
44	0	0		0
45	0	0		0
46	0	0		0
47	0	0		0
48	0	0		0
49	0	0		0
50	0	0		0
51	0	0		0
52	0	0		0
53	0	0		0
54	0	0		0
55	0	0		0
56	0	0		0
57	0	0		0
58	0	0		0
59	0	0		0
60	0	0		0
61	0	1	0.00	1
62	0	0		0
63	0	0		0

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	13	15	46.43	28
2	41	15	73.21	56
3	7	6	53.85	13
4	2	13	13.33	15
5	3	9	25.00	12
6	5	6	45.45	11
7	5	9	35.71	14
8	4	6	40.00	10
9	4	4	50.00	8
10	4	4	50.00	8
11	3	4	42.86	7
12	6	2	75.00	8
13	8	1	88.89	9
14	0	4	0.00	4
15	9	1	90.00	10
16	0	2	0.00	2
17	2	0	100.00	2
18	2	1	66.67	3
19	1	1	50.00	2
20	0	1	0.00	1
21	0	0		0
22	0	0		0
23	0	0		0
24	0	0		0
25	0	0		0
26	0	0		0
27	0	1	0.00	1
28	0	0		0
29	0	0		0
30	0	0		0
31	0	0		0
32	0	0		0
33	0	0		0
34	0	0		0
35	0	0		0
36	0	0		0
37	0	1	0.00	1
38	0	0		0
39	0	0		0
40	0	0		0
41	0	0		0
42	0	0		0
43	0	0		0
44	0	0		0
45	0	1	0.00	1
46	0	0		0
47	0	0		0
48	0	0		0
49	0	0		0
50	0	0		0
51	0	0		0
52	0	0		0
53	0	0		0
54	0	0		0
55	0	0		0
56	0	0		0
57	0	0		0
58	0	0		0
59	0	0		0
60	0	0		0
61	0	0		0
62	0	0		0
63	0	0		0

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	260	97	72.83	357
2	226	159	58.70	385
3	243	160	60.30	403
4	252	151	62.53	403
5	252	140	64.29	392
6	249	136	64.68	385
7	235	128	64.74	363
8	224	97	69.78	321
9	220	86	71.90	306
10	186	98	65.49	284
11	172	80	68.25	252
12	147	58	71.71	205
13	133	45	74.72	178
14	112	49	69.57	161
15	86	23	78.90	109
16	73	20	78.49	93
17	67	20	77.01	87
18	53	21	71.62	74
19	60	25	70.59	85
20	32	13	71.11	45
21	20	7	74.07	27
22	22	9	70.97	31
23	11	3	78.57	14
24	5	2	71.43	7
25	3	2	60.00	5
26	3	3	50.00	6
27	5	1	83.33	6
28	8	3	72.73	11
29	6	0	100.00	6
30	3	4	42.86	7
31	0	1	0.00	1
32	0	0		0
33	0	1	0.00	1
34	0	0		0
35	0	0		0
36	0	0		0
37	0	0		0
38	0	0		0
39	0	0		0
40	0	1	0.00	1
41	0	0		0
42	0	0		0
43	0	0		0
44	0	0		0
45	0	0		0
46	0	1	0.00	1
47	0	0		0
48	0	0		0
49	0	0		0
50	0	1	0.00	1
51	0	0		0
52	0	0		0
53	0	1	0.00	1
54	0	0		0
55	0	0		0
56	0	1	0.00	1
57	0	0		0
58	0	1	0.00	1
59	0	0		0
60	0	0		0
61	0	1	0.00	1
62	0	0		0
63	0	1	0.00	1

