CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	24	13	64.86	37
2	1	17	5.56	18
3	1	7	12.50	8
4	3	12	20.00	15
5	3	11	21.43	14
6	1	5	16.67	6
7	2	4	33.33	6
8	3	5	37.50	8
9	2	3	40.00	5
10	1	5	16.67	6
11	3	2	60.00	5
12	2	4	33.33	6
13	2	2	50.00	4
14	2	0	100.00	2
15	2	1	66.67	3
16	0	0		0
17	0	0		0
18	0	2	0.00	2
19	1	0	100.00	1
20	0	0		0
21	0	0		0
22	0	0		0
23	2	0	100.00	2
24	1	1	50.00	2
25	0	0		0
26	0	0		0
27	0	0		0
28	0	0		0
29	0	0		0

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	18	18	50.00	36
2	20	25	44.44	45
3	5	19	20.83	24
4	2	13	13.33	15
5	5	9	35.71	14
6	6	12	33.33	18
7	2	8	20.00	10
8	4	4	50.00	8
9	3	11	21.43	14
10	6	5	54.55	11
11	4	7	36.36	11
12	5	4	55.56	9
13	4	0	100.00	4
14	4	1	80.00	5
15	2	1	66.67	3
16	1	0	100.00	1
17	3	0	100.00	3
18	1	0	100.00	1
19	1	0	100.00	1
20	1	1	50.00	2
21	0	0		0
22	0	1	0.00	1
23	0	0		0
24	0	1	0.00	1
25	0	0		0
26	0	0		0
27	0	0		0
28	0	0		0
29	0	0		0

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	278	125	68.98	403
2	285	155	64.77	440
3	240	161	59.85	401
4	262	172	60.37	434
5	259	155	62.56	414
6	232	142	62.03	374
7	238	145	62.14	383
8	249	123	66.94	372
9	213	126	62.83	339
10	164	118	58.16	282
11	155	85	64.58	240
12	155	79	66.24	234
13	132	48	73.33	180
14	115	55	67.65	170
15	58	38	60.42	96
16	69	32	68.32	101
17	48	15	76.19	63
18	35	32	52.24	67
19	40	18	68.97	58
20	29	13	69.05	42
21	13	7	65.00	20
22	12	6	66.67	18
23	9	3	75.00	12
24	0	0		0
25	2	6	25.00	8
26	7	2	77.78	9
27	6	2	75.00	8
28	0	2	0.00	2
29	0	1	0.00	1

