CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	1	39	2.50	40
2	0	46	0.00	46
3	1	44	2.22	45
4	0	42	0.00	42
5	0	35	0.00	35
6	1	30	3.23	31
7	1	34	2.86	35
8	0	18	0.00	18
9	0	26	0.00	26
10	0	17	0.00	17
11	0	7	0.00	7
12	0	3	0.00	3
13	0	0		0
14	0	0		0
15	0	1	0.00	1
16	0	1	0.00	1

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	0	21	0.00	21
2	3	14	17.65	17
3	2	33	5.71	35
4	1	39	2.50	40
5	2	48	4.00	50
6	1	30	3.23	31
7	1	28	3.45	29
8	0	19	0.00	19
9	0	10	0.00	10
10	1	9	10.00	10
11	0	4	0.00	4
12	0	5	0.00	5
13	0	1	0.00	1
14	0	1	0.00	1
15	0	0		0
16	0	0		0

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	3	56	5.08	59
2	3	51	5.56	54
3	3	46	6.12	49
4	6	38	13.64	44
5	3	35	7.89	38
6	6	38	13.64	44
7	5	35	12.50	40
8	5	32	13.51	37
9	0	24	0.00	24
10	1	18	5.26	19
11	2	13	13.33	15
12	2	5	28.57	7
13	1	1	50.00	2
14	1	0	100.00	1
15	0	0		0
16	0	0		0

